title,type,episodes,rating,score,rank,popularity,members,favorites,premiered,studio,genre
Natsume Yuujinchou Go Specials,Special,2,PG-13 - Teens 13 or older,8.38,177.0,2960,16251,32,,Shuka,"Slice of Life, Drama, Fantasy, Shoujo"
NHK ni Youkoso!,TV,24,R+ - Mild Nudity,8.38,178.0,132,384164,15923,Summer 2006,Gonzo,"Comedy, Psychological, Drama, Romance"
Tenkuu no Shiro Laputa,Movie,1,PG - Children,8.38,179.0,364,204958,1811,,Studio Ghibli,"Adventure, Fantasy, Romance, Sci-Fi"
Versailles no Bara,TV,40,PG-13 - Teens 13 or older,8.38,180.0,1664,44207,1660,Fall 1979,Tokyo Movie Shinsha,"Historical, Drama, Romance, Shoujo"
Beck,TV,26,R - 17+ (violence & profanity),8.37,181.0,414,184685,5739,Fall 2004,Madhouse,"Comedy, Drama, Music, Shounen, Slice of Life"
Gintama: Shiroyasha Koutan,Special,1,PG-13 - Teens 13 or older,8.37,182.0,1894,36235,63,,Sunrise,"Action, Sci-Fi, Comedy, Historical"
Hajime no Ippo: Champion Road,Special,1,PG-13 - Teens 13 or older,8.37,183.0,1262,64556,149,,Madhouse,"Comedy, Shounen, Sports"
Kuroko no Basket,TV,25,PG-13 - Teens 13 or older,8.37,183.0,85,483829,15372,Spring 2012,Production I.G,"Comedy, Shounen, Sports"
Detective Conan Movie 13: The Raven Chaser,Movie,1,PG-13 - Teens 13 or older,8.36,186.0,2137,29479,45,,Tokyo Movie Shinsha,"Action, Mystery, Shounen"
Kono Subarashii Sekai ni Shukufuku wo! 2,TV,10,PG-13 - Teens 13 or older,8.36,186.0,112,417656,4646,Winter 2017,Studio Deen,"Adventure, Comedy, Fantasy"
Major S2,TV,26,PG-13 - Teens 13 or older,8.36,188.0,1778,39997,229,Winter 2006,Studio Hibari,"Comedy, Drama, Shounen, Sports"
Major S3,TV,26,PG-13 - Teens 13 or older,8.36,189.0,1824,38471,265,Winter 2007,Studio Hibari,"Drama, Shounen, Sports"
Planetes,TV,26,PG-13 - Teens 13 or older,8.36,190.0,599,138479,2854,Fall 2003,Sunrise,"Drama, Romance, Sci-Fi, Seinen"
Quanzhi Gaoshou (2018),ONA,3,PG-13 - Teens 13 or older,8.36,190.0,2461,23402,73,,,Action
Bakemonogatari,TV,15,R - 17+ (violence & profanity),8.35,191.0,44,663591,27088,Summer 2009,Shaft,"Romance, Mystery"
Ghost in the Shell,Movie,1,R+ - Mild Nudity,8.35,192.0,174,329663,7755,,Production I.G,"Action, Sci-Fi, Psychological, Mecha, Seinen"
Higurashi no Naku Koro ni Kai,TV,24,R - 17+ (violence & profanity),8.35,193.0,251,271169,5221,Summer 2007,Studio Deen,"Mystery, Psychological, Thriller"
